r5ad.xlarge        4 vCPU    2.5 GHz        32.0Gb     $0.316/hr
r5ad.2xlarge       8 vCPU    2.5 GHz        64.0Gb     $0.632/hr
r5ad.4xlarge       16 vCPU   2.5 GHz        128.0Gb    $1.264/hr
r5ad.8xlarge       32 vCPU   2.5 GHz        256.0Gb    $2.528/hr
r5ad.12xlarge      48 vCPU   2.5 GHz        384.0Gb    $3.792/hr
r5ad.16xlarge      64 vCPU   2.5 GHz        512.0Gb    $5.056/hr
r5ad.24xlarge      96 vCPU   2.5 GHz        768.0Gb    $7.584/hr
r5d.large          2 vCPU    3.1 GHz        16.0Gb     $0.173/hr
r5d.xlarge         4 vCPU    3.1 GHz        32.0Gb     $0.346/hr
r5d.2xlarge        8 vCPU    3.1 GHz        64.0Gb     $0.692/hr
r5d.4xlarge        16 vCPU   3.1 GHz        128.0Gb    $1.384/hr
r5d.8xlarge        32 vCPU   3.1 GHz        256.0Gb    $2.768/hr
r5d.12xlarge       48 vCPU   3.1 GHz        384.0Gb    $4.152/hr
r5d.16xlarge       64 vCPU   3.1 GHz        512.0Gb    $5.536/hr
r5d.24xlarge       96 vCPU   3.1 GHz        768.0Gb    $8.304/hr
r5d.metal          96 vCPU   3.1 GHz        768.0Gb    $8.304/hr
r5dn.large         2 vCPU    3.1 GHz        16.0Gb     $0.201/hr
r5dn.xlarge        4 vCPU    3.1 GHz        32.0Gb     $0.402/hr
r5dn.2xlarge       8 vCPU    3.1 GHz        64.0Gb     $0.804/hr
r5dn.4xlarge       16 vCPU   3.1 GHz        128.0Gb    $1.608/hr
r5dn.8xlarge       32 vCPU   3.1 GHz        256.0Gb    $3.216/hr
r5dn.12xlarge      48 vCPU   3.1 GHz        384.0Gb    $4.824/hr
r5dn.16xlarge      64 vCPU   3.1 GHz        512.0Gb    $6.432/hr
r5dn.metal         96 vCPU   3.1 GHz        768.0Gb    $9.648/hr
r5dn.24xlarge      96 vCPU   3.1 GHz        768.0Gb    $9.648/hr
r5n.large          2 vCPU    2.5 GHz        16.0Gb     $0.179/hr
r5n.xlarge         4 vCPU    2.5 GHz        32.0Gb     $0.358/hr
r5n.2xlarge        8 vCPU    2.5 GHz        64.0Gb     $0.716/hr
r5n.4xlarge        16 vCPU   2.5 GHz        128.0Gb    $1.432/hr
r5n.8xlarge        32 vCPU   2.5 GHz        256.0Gb    $2.864/hr
r5n.12xlarge       48 vCPU   2.5 GHz        384.0Gb    $4.296/hr
r5n.16xlarge       64 vCPU   2.5 GHz        512.0Gb    $5.728/hr
r5n.24xlarge       96 vCPU   2.5 GHz        768.0Gb    $8.592/hr
r5n.metal          96 vCPU   2.5 GHz        768.0Gb    $8.592/hr
r6g.medium         1 vCPU    2.5 GHz        8.0Gb      $0.0604/hr
r6g.large          2 vCPU    2.5 GHz        16.0Gb     $0.1208/hr
r6g.xlarge         4 vCPU    2.5 GHz        32.0Gb     $0.2416/hr
r6g.2xlarge        8 vCPU    2.5 GHz        64.0Gb     $0.4832/hr
r6g.4xlarge        16 vCPU   2.5 GHz        128.0Gb    $0.9664/hr
r6g.8xlarge        32 vCPU   2.5 GHz        256.0Gb    $1.9328/hr
r6g.12xlarge       48 vCPU   2.5 GHz        384.0Gb    $2.8992/hr
r6g.metal          64 vCPU   2.5 GHz        512.0Gb    $3.8656/hr
r6g.16xlarge       64 vCPU   2.5 GHz        512.0Gb    $3.8656/hr
t1.micro           1 vCPU                   0.613Gb    $0.024/hr
t2.nano            1 vCPU    Up to 3.3 GHz  0.5Gb      $0.0068/hr
t2.micro           1 vCPU    Up to 3.3 GHz  1.0Gb      $0.0136/hr
t2.small           1 vCPU    Up to 3.3 GHz  2.0Gb      $0.0272/hr
t2.medium          2 vCPU    Up to 3.3 GHz  4.0Gb      $0.0544/hr
t2.large           2 vCPU    Up to 3.3 GHz  8.0Gb      $0.1088/hr
t2.xlarge          4 vCPU    Up to 3.3 GHz  16.0Gb     $0.2176/hr
t2.2xlarge         8 vCPU    Up to 3.3 GHz  32.0Gb     $0.4352/hr
t3.nano            2 vCPU    3.1 GHz        0.5Gb      $0.0061/hr
t3.micro           2 vCPU    3.1 GHz        1.0Gb      $0.0122/hr
t3.small           2 vCPU    3.1 GHz        2.0Gb      $0.0244/hr
t3.medium          2 vCPU    3.1 GHz        4.0Gb      $0.0488/hr
t3.large           2 vCPU    3.1 GHz        8.0Gb      $0.0976/hr
t3.xlarge          4 vCPU    3.1 GHz        16.0Gb     $0.1952/hr
t3.2xlarge         8 vCPU    3.1 GHz        32.0Gb     $0.3904/hr
t3a.nano           2 vCPU    2.5 GHz        0.5Gb      $0.0055/hr
t3a.micro          2 vCPU    2.5 GHz        1.0Gb      $0.011/hr
t3a.small          2 vCPU    2.5 GHz        2.0Gb      $0.022/hr
t3a.medium         2 vCPU    2.5 GHz        4.0Gb      $0.0439/hr
t3a.large          2 vCPU    2.5 GHz        8.0Gb      $0.0878/hr
t3a.xlarge         4 vCPU    2.5 GHz        16.0Gb     $0.1757/hr
t3a.2xlarge        8 vCPU    2.5 GHz        32.0Gb     $0.3514/hr
t4g.nano           2 vCPU    2.5 GHz        0.5Gb      $0.0049/hr
t4g.micro          2 vCPU    2.5 GHz        1.0Gb      $0.0098/hr
t4g.small          2 vCPU    2.5 GHz        2.0Gb      $0.0196/hr
t4g.medium         2 vCPU    2.5 GHz        4.0Gb      $0.0392/hr
t4g.large          2 vCPU    2.5 GHz        8.0Gb      $0.0784/hr
t4g.xlarge         4 vCPU    2.5 GHz        16.0Gb     $0.1568/hr
t4g.2xlarge        8 vCPU    2.5 GHz        32.0Gb     $0.3136/hr
u-12tb1.112xlarge  448 vCPU                 12288.0Gb  $130.867/hr
u-6tb1.56xlarge    224 vCPU                 6144.0Gb   $55.61075/hr
u-6tb1.112xlarge   448 vCPU                 6144.0Gb   $65.433/hr
u-9tb1.112xlarge   448 vCPU                 9216.0Gb   $98.15/hr
x1.32xlarge        128 vCPU  2.3 GHz        1952.0Gb   $16.006/hr
x1.16xlarge        64 vCPU   2.3 GHz        976.0Gb    $8.003/hr
x1e.xlarge         4 vCPU    2.3 GHz        122.0Gb    $1.0/hr
x1e.16xlarge       64 vCPU   2.3 GHz        1952.0Gb   $16.0/hr
x1e.2xlarge        8 vCPU    2.3 GHz        244.0Gb    $2.0/hr
x1e.32xlarge       128 vCPU  2.3 GHz        3904.0Gb   $32.0/hr
x1e.4xlarge        16 vCPU   2.3 GHz        488.0Gb    $4.0/hr
x1e.8xlarge        32 vCPU   2.3 GHz        976.0Gb    $8.0/hr
