c1.medium      2 vCPU                   1.7Gb     $0.179/hr
c1.xlarge      8 vCPU                   7.0Gb     $0.718/hr
r6g.2xlarge    8 vCPU    2.5 GHz        64.0Gb    $0.6432/hr
r6g.4xlarge    16 vCPU   2.5 GHz        128.0Gb   $1.2864/hr
r6g.8xlarge    32 vCPU   2.5 GHz        256.0Gb   $2.5728/hr
r6g.12xlarge   48 vCPU   2.5 GHz        384.0Gb   $3.8592/hr
r6g.metal      64 vCPU   2.5 GHz        512.0Gb   $5.1456/hr
r6g.16xlarge   64 vCPU   2.5 GHz        512.0Gb   $5.1456/hr
r6i.large      2 vCPU    3.5 GHz        16.0Gb    $0.201/hr
r6i.xlarge     4 vCPU    3.5 GHz        32.0Gb    $0.402/hr
r6i.2xlarge    8 vCPU    3.5 GHz        64.0Gb    $0.804/hr
r6i.4xlarge    16 vCPU   3.5 GHz        128.0Gb   $1.608/hr
r6i.metal      128 vCPU  3.5 GHz        1024.0Gb  $12.864/hr
r6i.32xlarge   128 vCPU  3.5 GHz        1024.0Gb  $12.864/hr
r6i.8xlarge    32 vCPU   3.5 GHz        256.0Gb   $3.216/hr
r6i.12xlarge   48 vCPU   3.5 GHz        384.0Gb   $4.824/hr
r6i.16xlarge   64 vCPU   3.5 GHz        512.0Gb   $6.432/hr
r6i.24xlarge   96 vCPU   3.5 GHz        768.0Gb   $9.648/hr
t1.micro       1 vCPU                   0.613Gb   $0.027/hr
t2.nano        1 vCPU    Up to 3.3 GHz  0.5Gb     $0.0093/hr
t2.micro       1 vCPU    Up to 3.3 GHz  1.0Gb     $0.0186/hr
t2.small       1 vCPU    Up to 3.3 GHz  2.0Gb     $0.0372/hr
t2.medium      2 vCPU    Up to 3.3 GHz  4.0Gb     $0.0744/hr
t2.large       2 vCPU    Up to 3.3 GHz  8.0Gb     $0.1488/hr
t2.xlarge      4 vCPU    Up to 3.3 GHz  16.0Gb    $0.2976/hr
t2.2xlarge     8 vCPU    Up to 3.3 GHz  32.0Gb    $0.5952/hr
t3.nano        2 vCPU    3.1 GHz        0.5Gb     $0.0084/hr
t3.micro       2 vCPU    3.1 GHz        1.0Gb     $0.0168/hr
t3.small       2 vCPU    3.1 GHz        2.0Gb     $0.0336/hr
t3.medium      2 vCPU    3.1 GHz        4.0Gb     $0.0672/hr
t3.large       2 vCPU    3.1 GHz        8.0Gb     $0.1344/hr
t3.xlarge      4 vCPU    3.1 GHz        16.0Gb    $0.2688/hr
t3.2xlarge     8 vCPU    3.1 GHz        32.0Gb    $0.5376/hr
t3a.nano       2 vCPU    2.5 GHz        0.5Gb     $0.0076/hr
t3a.micro      2 vCPU    2.5 GHz        1.0Gb     $0.0151/hr
t3a.small      2 vCPU    2.5 GHz        2.0Gb     $0.0302/hr
t3a.medium     2 vCPU    2.5 GHz        4.0Gb     $0.0605/hr
t3a.large      2 vCPU    2.5 GHz        8.0Gb     $0.121/hr
t3a.xlarge     4 vCPU    2.5 GHz        16.0Gb    $0.2419/hr
t3a.2xlarge    8 vCPU    2.5 GHz        32.0Gb    $0.4838/hr
t4g.nano       2 vCPU    2.5 GHz        0.5Gb     $0.0067/hr
t4g.micro      2 vCPU    2.5 GHz        1.0Gb     $0.0134/hr
t4g.small      2 vCPU    2.5 GHz        2.0Gb     $0.0268/hr
t4g.medium     2 vCPU    2.5 GHz        4.0Gb     $0.0536/hr
t4g.large      2 vCPU    2.5 GHz        8.0Gb     $0.1072/hr
t4g.xlarge     4 vCPU    2.5 GHz        16.0Gb    $0.2144/hr
t4g.2xlarge    8 vCPU    2.5 GHz        32.0Gb    $0.4288/hr
x1.16xlarge    64 vCPU   2.3 GHz        976.0Gb   $13.005/hr
x1.32xlarge    128 vCPU  2.3 GHz        1952.0Gb  $26.01/hr
x1e.xlarge     4 vCPU    2.3 GHz        122.0Gb   $1.626/hr
x1e.8xlarge    32 vCPU   2.3 GHz        976.0Gb   $13.005/hr
x1e.16xlarge   64 vCPU   2.3 GHz        1952.0Gb  $26.01/hr
x1e.2xlarge    8 vCPU    2.3 GHz        244.0Gb   $3.251/hr
x1e.32xlarge   128 vCPU  2.3 GHz        3904.0Gb  $52.019/hr
x1e.4xlarge    16 vCPU   2.3 GHz        488.0Gb   $6.502/hr
